Date,Dosages Received,1st Dosage,2nd Dosage
2020-12,4963.0,4963.0,0.0
2020-12,2791.0,2791.0,0.0
2020-12,12614.0,12614.0,0.0
2020-12,10175.0,10175.0,0.0
2020-12,2206.0,2206.0,0.0
2021-01,0.0,0.0,0.0
2021-01,1.0,1.0,0.0
2021-01,0.0,0.0,0.0
2021-01,920.0,920.0,0.0
2021-01,12763.0,12763.0,0.0
2021-01,15021.0,15021.0,0.0
2021-01,10297.0,10297.0,0.0
2021-01,2503.0,2503.0,0.0
2021-01,98.0,98.0,0.0
2021-01,40.0,40.0,0.0
2021-01,888.0,888.0,0.0
2021-01,10882.0,10882.0,0.0
2021-01,13799.0,13799.0,0.0
2021-01,11150.0,11150.0,0.0
2021-01,7486.0,7486.0,0.0
2021-01,1535.0,1535.0,0.0
2021-01,1168.0,7.0,1161.0
2021-01,3404.0,2740.0,664.0
2021-01,23730.0,16112.0,7618.0
2021-01,28933.0,19758.0,9175.0
2021-01,33104.0,28130.0,4974.0
2021-01,26259.0,23855.0,2404.0
2021-01,14794.0,10754.0,4040.0
2021-01,4175.0,3658.0,517.0
2021-01,14914.0,,
2021-01,17591.0,,
2021-01,19733.0,,
2021-01,14496.0,,
2021-01,6538.0,3614.0,2924.0
2021-02,1795.0,1428.0,367.0
2021-02,3553.0,1610.0,1943.0
2021-02,8826.0,3669.0,5157.0
2021-02,13266.0,4143.0,9123.0
2021-02,15167.0,5226.0,9941.0
2021-02,14710.0,5840.0,8870.0
2021-02,1816.0,1076.0,740.0
2021-02,467.0,380.0,87.0
2021-02,3819.0,2377.0,1442.0
2021-02,15093.0,4589.0,10504.0
2021-02,20937.0,4418.0,16519.0
2021-02,32099.0,7573.0,24526.0
2021-02,37052.0,9962.0,27090.0
2021-02,17978.0,8142.0,9836.0
2021-02,5672.0,2502.0,3170.0
2021-02,10765.0,5179.0,5586.0
2021-02,16545.0,10513.0,6032.0
2021-02,22371.0,14418.0,7953.0
2021-02,39934.0,27230.0,12704.0
2021-02,37775.0,24821.0,12954.0
2021-02,19042.0,15538.0,3504.0
2021-02,4804.0,3394.0,1410.0
2021-02,14040.0,12316.0,1724.0
2021-02,26420.0,24199.0,2221.0
2021-02,31600.0,28111.0,3489.0
2021-02,44688.0,41596.0,3092.0
2021-02,40882.0,35426.0,5456.0
2021-02,24035.0,22750.0,1285.0
2021-03,7029.0,6773.0,256.0
2021-03,16158.0,14808.0,1350.0
2021-03,15722.0,14057.0,1665.0
2021-03,28302.0,23269.0,5033.0
2021-03,43050.0,37241.0,5809.0
2021-03,39849.0,31242.0,8607.0
2021-03,17157.0,13004.0,4153.0
2021-03,3911.0,2556.0,1355.0
2021-03,10991.0,8813.0,2178.0
2021-03,10994.0,9088.0,1906.0
2021-03,23678.0,14680.0,8998.0
2021-03,35122.0,20819.0,14303.0
2021-03,33690.0,20218.0,13472.0
2021-03,16298.0,10933.0,5365.0
2021-03,4342.0,3195.0,1147.0
2021-03,24971.0,21956.0,3015.0
2021-03,7505.0,1558.0,5947.0
2021-03,34445.0,12548.0,21897.0
2021-03,45273.0,11920.0,33353.0
2021-03,44857.0,16882.0,27975.0
2021-03,23065.0,10155.0,12910.0
2021-03,3185.0,1437.0,1748.0
2021-03,17726.0,10094.0,7632.0
2021-03,22309.0,20237.0,2072.0
2021-03,42493.0,38886.0,3607.0
2021-03,71432.0,66928.0,4504.0
2021-03,30708.0,28252.0,2456.0
2021-03,63415.0,61897.0,1518.0
2021-03,18800.0,18499.0,301.0
2021-03,23547.0,20919.0,2628.0
2021-03,30947.0,27351.0,3596.0
2021-04,23676.0,13969.0,9707.0
2021-04,83281.0,41233.0,42048.0
2021-04,35434.0,18678.0,16756.0
2021-04,17934.0,10811.0,7123.0
2021-04,1607.0,1238.0,369.0
2021-04,32645.0,26725.0,5920.0
2021-04,39718.0,36636.0,3082.0
2021-04,61848.0,51409.0,10439.0
2021-04,70492.0,55486.0,15006.0
2021-04,69559.0,56974.0,12585.0
2021-04,12911.0,10805.0,2106.0
2021-04,2823.0,2239.0,584.0
2021-04,31984.0,29822.0,2162.0
2021-04,44227.0,42447.0,1780.0
2021-04,63553.0,52660.0,10893.0
2021-04,69644.0,59513.0,10131.0
2021-04,67795.0,47840.0,19955.0
2021-04,118818.0,113888.0,4930.0
2021-04,65886.0,64454.0,1432.0
2021-04,32364.0,21197.0,11167.0
2021-04,38213.0,29237.0,8976.0
2021-04,53869.0,29982.0,23887.0
2021-04,67808.0,28477.0,39331.0
2021-04,77556.0,39621.0,37935.0
2021-04,43613.0,31331.0,12282.0
2021-04,13744.0,12022.0,1722.0
2021-04,48899.0,40282.0,8617.0
2021-04,49381.0,39181.0,10200.0
2021-04,72771.0,53913.0,18858.0
2021-04,80807.0,62576.0,18231.0
2021-05,86303.0,69275.0,17028.0
2021-05,51504.0,42060.0,9444.0
2021-05,20725.0,18598.0,2127.0
2021-05,65060.0,51444.0,13616.0
2021-05,77107.0,60198.0,16909.0
2021-05,90929.0,48557.0,42372.0
2021-05,101024.0,49727.0,51297.0
2021-05,104250.0,47432.0,56818.0
2021-05,82485.0,68597.0,13888.0
2021-05,38912.0,37222.0,1690.0
2021-05,78546.0,58861.0,19685.0
2021-05,69311.0,53244.0,16067.0
2021-05,68399.0,53282.0,15117.0
2021-05,72497.0,52900.0,19597.0
2021-05,79841.0,23649.0,56192.0
2021-05,129850.0,6022.0,123828.0
2021-05,64158.0,37454.0,26704.0
2021-05,68470.0,47775.0,20695.0
2021-05,79496.0,55935.0,23561.0
2021-05,79296.0,52747.0,26549.0
2021-05,82651.0,54407.0,28244.0
2021-05,85454.0,49340.0,36114.0
2021-05,71066.0,36529.0,34537.0
2021-05,28877.0,16540.0,12337.0
2021-05,67946.0,43522.0,24424.0
2021-05,68802.0,49480.0,19322.0
2021-05,87844.0,44393.0,43451.0
2021-05,99019.0,41859.0,57160.0
2021-05,103758.0,39382.0,64376.0
2021-05,73249.0,34112.0,39137.0
2021-05,29907.0,18605.0,11302.0
2021-06,70120.0,32055.0,38065.0
2021-06,88756.0,41640.0,47116.0
2021-06,89481.0,53190.0,36291.0
2021-06,71644.0,41859.0,29785.0
2021-06,90673.0,49047.0,41626.0
2021-06,80930.0,35830.0,45100.0
2021-06,42052.0,20239.0,21813.0
2021-06,104215.0,53005.0,51210.0
2021-06,95503.0,61602.0,33901.0
2021-06,99317.0,65377.0,33940.0
2021-06,112389.0,74118.0,38271.0
2021-06,56444.0,30754.0,25690.0
2021-06,71023.0,65007.0,6016.0
2021-06,27770.0,21700.0,6070.0
2021-06,93169.0,57447.0,35722.0
2021-06,102418.0,50717.0,51701.0
2021-06,111036.0,61717.0,49319.0
2021-06,168320.0,98424.0,69896.0
2021-06,50845.0,23397.0,27448.0
2021-06,138477.0,47359.0,91118.0
2021-06,98910.0,58213.0,40697.0
2021-06,31111.0,15514.0,15597.0
2021-06,106620.0,55172.0,51448.0
2021-06,110508.0,60646.0,49862.0
2021-06,111386.0,63249.0,48137.0
2021-06,109627.0,65338.0,44289.0
2021-06,98084.0,61023.0,37061.0
2021-06,53306.0,38087.0,15219.0
2021-06,114687.0,62470.0,52217.0
2021-06,218727.0,121176.0,97551.0
2021-07,281428.0,142847.0,138581.0
2021-07,184381.0,93610.0,90771.0
2021-07,166207.0,83204.0,83003.0
2021-07,138515.0,72211.0,66304.0
2021-07,78052.0,40734.0,37318.0
2021-07,146368.0,68450.0,77918.0
2021-07,158703.0,68527.0,90176.0
2021-07,182003.0,75825.0,106178.0
2021-07,118072.0,44659.0,73413.0
2021-07,115283.0,56659.0,58624.0
2021-07,120336.0,56391.0,63945.0
2021-07,116324.0,55284.0,61040.0
2021-07,115835.0,50973.0,64862.0
2021-07,98171.0,55160.0,43011.0
2021-07,59602.0,31048.0,28554.0
2021-07,99728.0,43628.0,56100.0
2021-07,99139.0,44991.0,54148.0
2021-07,95870.0,37346.0,58524.0
2021-07,102420.0,44236.0,58184.0
2021-07,102666.0,42281.0,60385.0
2021-07,93825.0,38279.0,55546.0
2021-07,48468.0,17520.0,30948.0
2021-07,86342.0,25642.0,60700.0
2021-07,85621.0,27916.0,57705.0
2021-07,87312.0,28074.0,59238.0
2021-07,87799.0,29715.0,58084.0
2021-07,93423.0,33776.0,59647.0
2021-08,86256.0,26289.0,59967.0
2021-08,85171.0,27994.0,57177.0
2021-08,105922.0,46385.0,59537.0
2021-08,102488.0,37478.0,65010.0
2021-08,100882.0,40192.0,60690.0
2021-08,87486.0,35089.0,52397.0
2021-08,45033.0,21357.0,23676.0
2021-08,86390.0,50065.0,36325.0
2021-08,100804.0,63031.0,37773.0
2021-08,92612.0,61103.0,31509.0
2021-08,91203.0,46075.0,45128.0
2021-08,118368.0,78432.0,39936.0
2021-08,103719.0,98981.0,4738.0
2021-08,51883.0,48535.0,3348.0
2021-08,98548.0,67142.0,31406.0
2021-08,80817.0,55108.0,25709.0
2021-08,79608.0,60866.0,18742.0
2021-08,74595.0,59253.0,15342.0
2021-08,80014.0,55634.0,24380.0
2021-08,128534.0,126189.0,2345.0
2021-08,44250.0,42639.0,1611.0
2021-08,69496.0,54904.0,14592.0
2021-08,60565.0,47132.0,13433.0
2021-08,64142.0,48692.0,15450.0
2021-08,55314.0,40730.0,14584.0
2021-08,60000.0,37270.0,22730.0
2021-08,78845.0,75063.0,3782.0
2021-08,30018.0,27087.0,2931.0
2021-08,54833.0,30995.0,23838.0
2021-09,50771.0,23799.0,26972.0
2021-09,54114.0,20019.0,34095.0
2021-09,49550.0,23926.0,25624.0
2021-09,50620.0,10542.0,40078.0
2021-09,46820.0,12053.0,34767.0
2021-09,41608.0,11149.0,30459.0
2021-09,40826.0,9905.0,30921.0
2021-09,41581.0,11776.0,29805.0
2021-09,40864.0,11002.0,29862.0
2021-09,125682.0,9823.0,115859.0
2021-09,37703.0,5420.0,32283.0
2021-09,55441.0,9841.0,45600.0
2021-09,25147.0,6234.0,18913.0
2021-09,19479.0,6177.0,13302.0
2021-09,15931.0,6491.0,9440.0
2021-09,6538.0,1675.0,4863.0
